what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1335969667186
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1335969667186
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1335969667186
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1335969667186
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1335969667186
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1335969667233
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1335969667233
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1335969667233
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1335969667233
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1335969667233
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1335969667248
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1335969667279
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1335969667279
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1335969667279
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1335969667279
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1335969667279
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1335969667279
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1335969667279
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1335969667279
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1335969667357
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1335969667357
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1335969667357
os,sysinfo,,,"win32",1335969667373
arch,sysinfo,,,"x86_64",1335969667373
ws,sysinfo,,,"win32",1335969667373
locale,sysinfo,,,"pt_BR",1335969667373
processors,sysinfo,,,"4",1335969667373
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335969667373
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1335969667373
java.specification.name,sysinfo,,,"Java Platform API Specification",1335969667373
java.specification.vendor,sysinfo,,,"Oracle Corporation",1335969667373
java.specification.version,sysinfo,,,"1.7",1335969667373
java.vendor,sysinfo,,,"Oracle Corporation",1335969667373
java.version,sysinfo,,,"1.7.0_03",1335969667373
java.vm.info,sysinfo,,,"mixed mode",1335969667373
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335969667373
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335969667373
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1335969667373
java.vm.specification.version,sysinfo,,,"1.7",1335969667373
java.vm.vendor,sysinfo,,,"Oracle Corporation",1335969667373
java.vm.version,sysinfo,,,"22.1-b02",1335969667373
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1335969667404
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1335969667669
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335969667669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969671757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969674845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1335969674908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1335969674908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969675672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969746220
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1335969749433
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335969749527
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1335969751243
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335969751305
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1335969752631
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335969752772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969754332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969758076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969760416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335969769152
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1335969778090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969831380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1335969831411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1335969831411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969834297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969842158
